Date,Open,High,Low,Close,Volume
10/27/2021,121.63,128.08,121.05,122.28,"98,245,320"
10/26/2021,122.99,127.2,122.58,122.93,"59,458,930"
10/25/2021,120.52,123.46,118.6,122.36,"47,834,121"
10/22/2021,120.83,121.56,118.37,119.82,"38,992,688"
10/21/2021,116.5,119.68,116.26,119.33,"34,794,953"
10/20/2021,116.29,118.3,115.42,116.39,"34,244,809"
10/19/2021,116.16,117.17,114.47,116.33,"39,593,941"
10/18/2021,111.9,116.88,111.37,116.43,"47,537,762"
10/15/2021,112.51,112.84,111.11,112.12,"34,203,008"
10/14/2021,110.5,112.22,109.63,111.99,"46,900,160"
10/13/2021,106.28,109.88,106.25,109.16,"55,631,922"
10/12/2021,105.17,106.04,104.34,105.04,"34,039,910"
10/11/2021,104.62,107.2,104.02,104.68,"31,284,391"
10/08/2021,106.55,107.28,104.89,105.06,"30,623,051"
10/07/2021,104.6,107.95,104.46,106.45,"41,543,113"
10/06/2021,100.45,103.72,100.35,103.64,"39,071,699"
10/05/2021,100.92,102.87,100.61,101.81,"31,455,250"
10/04/2021,101.74,101.85,99.82,100.34,"41,967,152"
10/01/2021,102.6,103.0,100.64,102.45,"41,491,594"
09/30/2021,102.08,104.44,101.99,102.9,"57,636,699"
09/29/2021,102.3,102.66,99.81,100.35,"52,224,719"
09/28/2021,106.84,107.65,101.42,101.52,"74,468,969"
09/27/2021,105.07,108.44,103.44,108.16,"51,944,352"
09/24/2021,105.19,106.05,104.68,105.8,"26,482,609"
09/23/2021,104.89,106.86,103.89,106.15,"32,816,660"
09/22/2021,102.82,104.56,102.21,104.38,"34,126,281"
09/21/2021,102.15,103.43,101.18,102.82,"35,481,500"
09/20/2021,101.58,102.51,99.51,101.55,"45,228,406"
09/17/2021,105.56,105.98,103.71,103.88,"44,528,340"
09/16/2021,104.92,106.75,103.76,106.22,"38,150,273"
09/15/2021,106.0,106.32,104.03,105.6,"37,998,941"
09/14/2021,105.52,106.82,104.42,105.73,"40,629,527"
09/13/2021,105.26,105.28,102.63,104.8,"37,767,793"
