Date,Open,High,Low,Close,Volume
10/27/2021,109.79,110.2,107.92,108.39,"3,601,162"
10/26/2021,112.62,112.85,110.14,110.21,"2,969,462"
10/25/2021,114.8,115.0,112.2,112.29,"6,784,547"
10/22/2021,112.84,114.77,112.65,114.54,"2,661,588"
10/21/2021,111.5,113.5,111.07,112.98,"3,715,046"
10/20/2021,111.18,111.97,110.72,111.63,"3,768,238"
10/19/2021,109.2,110.95,108.65,110.81,"3,769,330"
10/18/2021,108.45,109.69,108.2,108.65,"2,536,785"
10/15/2021,106.74,107.97,106.26,107.71,"1,695,434"
10/14/2021,104.24,106.44,104.17,106.0,"1,834,067"
10/13/2021,104.01,104.65,102.95,103.68,"2,725,307"
10/12/2021,105.13,105.53,103.38,103.75,"1,941,536"
10/11/2021,105.12,106.27,104.67,105.2,"1,405,149"
10/08/2021,107.48,107.9,104.26,105.06,"2,679,774"
10/07/2021,106.15,107.48,105.58,107.05,"2,080,732"
10/06/2021,104.58,105.7,103.94,105.5,"1,553,071"
10/05/2021,105.91,106.45,104.73,105.93,"1,699,520"
10/04/2021,106.05,106.57,104.42,105.24,"2,074,026"
10/01/2021,104.59,106.25,104.13,105.78,"1,910,256"
09/30/2021,105.65,105.85,102.71,104.04,"2,463,030"
09/29/2021,105.6,106.26,103.91,105.38,"2,421,771"
09/28/2021,104.2,105.68,104.03,105.29,"2,079,868"
09/27/2021,103.43,105.09,103.38,104.87,"2,175,797"
09/24/2021,102.63,104.1,102.6,103.88,"3,201,311"
09/23/2021,100.78,105.23,99.0,102.69,"5,904,311"
09/22/2021,99.73,99.9,97.93,99.27,"2,917,894"
09/21/2021,102.0,102.2,98.83,99.34,"2,775,323"
09/20/2021,98.85,102.09,98.8,100.87,"4,164,806"
09/17/2021,101.41,102.14,98.56,100.53,"4,594,792"
09/16/2021,100.21,101.59,99.88,101.4,"2,776,523"
09/15/2021,97.61,100.74,97.26,100.44,"2,943,299"
09/14/2021,98.83,98.9,97.17,97.44,"2,815,464"
09/13/2021,98.39,99.4,97.56,98.89,"5,946,135"
09/10/2021,96.93,97.18,95.02,95.24,"2,059,236"
09/09/2021,94.53,96.8,94.53,96.38,"1,852,442"
09/08/2021,95.85,96.23,94.17,94.89,"1,967,114"
09/07/2021,96.8,97.2,95.85,96.01,"2,590,857"
09/03/2021,97.07,97.99,96.9,97.14,"2,549,399"
09/02/2021,97.03,97.83,96.5,97.07,"2,177,179"
09/01/2021,97.53,97.97,96.72,96.75,"1,808,518"
08/31/2021,98.12,98.45,97.2,97.46,"2,457,156"
08/30/2021,97.56,99.06,96.4,98.15,"2,900,479"
08/27/2021,98.66,101.46,95.01,96.95,"5,389,751"
08/26/2021,102.5,102.68,101.11,101.55,"2,106,564"
08/25/2021,100.43,102.43,100.15,102.06,"1,762,036"
08/24/2021,101.0,101.29,99.89,100.74,"2,455,249"
08/23/2021,98.96,100.46,98.42,100.12,"1,648,677"
08/20/2021,97.37,98.94,97.02,98.5,"1,539,679"
08/19/2021,96.0,96.95,95.51,96.22,"1,139,667"
08/18/2021,97.4,98.1,96.94,96.96,"793,751"
08/17/2021,99.16,99.26,97.1,97.82,"1,218,964"
08/16/2021,99.52,99.86,98.54,99.65,"899,047"
08/13/2021,100.51,100.83,99.65,100.03,"1,293,454"
08/12/2021,100.43,100.8,99.6,100.51,"1,035,248"
08/11/2021,98.42,100.48,98.42,100.37,"1,233,188"
08/10/2021,98.95,99.17,98.14,98.42,"870,403"
08/09/2021,97.86,98.76,97.61,98.5,"1,077,416"
08/06/2021,98.38,98.82,98.07,98.54,"742,258"
08/05/2021,98.0,98.6,97.58,98.34,"876,445"
08/04/2021,97.99,98.1,97.15,97.39,"838,070"
08/03/2021,96.76,98.81,96.12,98.43,"1,591,734"
08/02/2021,97.08,97.13,95.99,96.29,"1,219,382"
07/30/2021,96.37,97.27,96.04,96.62,"804,301"
07/29/2021,96.34,96.91,95.56,96.79,"799,248"
07/28/2021,96.25,96.6,95.81,95.89,"578,099"
07/27/2021,95.62,96.38,94.95,96.1,"879,412"
07/26/2021,96.72,97.09,96.27,96.46,"1,248,681"
07/23/2021,96.0,96.7,95.59,96.55,"1,045,597"
07/22/2021,96.48,96.62,95.21,95.94,"1,387,501"
07/21/2021,95.7,96.7,95.12,96.21,"1,675,720"
07/20/2021,93.41,95.94,93.35,95.37,"2,498,496"
07/19/2021,90.83,93.27,90.58,92.88,"2,208,935"
07/16/2021,94.21,94.3,92.22,92.29,"1,968,915"
07/15/2021,92.94,93.72,92.23,93.64,"2,631,568"
07/14/2021,94.6,95.83,93.14,93.4,"2,617,147"
07/13/2021,96.75,96.78,93.73,93.76,"3,536,476"
07/12/2021,100.11,100.11,97.11,97.13,"2,071,537"
07/09/2021,99.3,100.86,99.22,100.25,"2,603,747"
07/08/2021,98.02,99.69,97.64,99.0,"1,795,815"
07/07/2021,98.96,100.07,98.34,99.49,"1,541,286"
07/06/2021,99.31,100.2,98.11,98.37,"1,819,088"
07/02/2021,99.15,99.7,97.9,99.37,"2,038,936"
07/01/2021,99.1,99.42,97.9,98.69,"2,840,271"
06/30/2021,101.3,101.67,99.6,99.67,"2,919,271"
06/29/2021,99.8,102.3,99.37,102.2,"4,152,225"
06/28/2021,99.5,100.2,99.33,99.75,"4,027,930"
06/25/2021,99.5,99.8,99.26,99.5,"4,687,960"
06/24/2021,100.0,100.0,98.6,99.08,"3,724,057"
06/23/2021,99.7,99.84,99.0,99.22,"1,209,940"
06/22/2021,100.0,100.0,99.0,99.76,"1,118,572"
06/21/2021,99.24,100.16,99.07,100.0,"1,851,195"
06/18/2021,98.24,98.85,97.34,98.57,"2,811,611"
06/17/2021,102.75,102.75,99.46,99.65,"2,562,523"
06/16/2021,102.71,103.41,102.0,102.75,"1,667,979"
06/15/2021,102.88,103.31,102.38,102.86,"1,051,891"
06/14/2021,104.0,104.22,102.25,102.74,"1,866,013"
06/11/2021,103.5,104.11,101.81,103.98,"1,920,419"
06/10/2021,103.9,104.62,103.48,103.79,"1,743,525"
06/09/2021,104.21,104.37,103.27,103.96,"1,149,357"
06/08/2021,102.93,104.17,102.83,103.91,"1,381,599"
06/07/2021,104.18,104.4,102.41,102.84,"1,235,887"
06/04/2021,102.06,103.57,101.78,103.53,"2,198,386"
06/03/2021,100.28,101.96,99.28,101.66,"2,586,953"
06/02/2021,102.95,103.33,100.79,100.79,"2,406,285"
06/01/2021,99.59,102.98,99.43,102.85,"4,183,226"
05/28/2021,98.68,99.73,95.24,98.64,"3,299,072"
05/27/2021,100.21,100.46,98.99,99.7,"3,310,776"
05/26/2021,99.65,100.45,99.36,99.66,"1,682,011"
05/25/2021,100.7,100.94,99.44,99.51,"2,067,353"
05/24/2021,99.31,100.66,99.14,100.14,"1,853,347"
05/21/2021,99.43,99.7,98.31,98.47,"1,164,431"
05/20/2021,97.1,99.09,97.05,98.61,"1,420,417"
05/19/2021,96.42,97.57,95.4,96.8,"1,531,593"
05/18/2021,98.76,99.03,97.81,98.15,"947,390"
05/17/2021,98.0,98.85,97.66,98.39,"1,171,614"
05/14/2021,97.62,98.53,97.22,98.43,"953,425"
05/13/2021,94.97,96.95,94.62,96.4,"1,501,764"
05/12/2021,97.01,97.49,93.97,94.09,"2,496,579"
05/11/2021,96.74,98.12,95.97,97.82,"3,584,334"
05/10/2021,101.05,101.25,99.59,99.68,"1,610,907"
05/07/2021,100.0,101.7,99.77,101.06,"2,102,245"
05/06/2021,98.57,99.83,97.75,99.77,"1,824,608"
05/05/2021,97.27,98.72,96.54,98.4,"2,055,268"
05/04/2021,97.0,97.21,95.86,96.52,"2,058,750"
05/03/2021,99.2,99.51,97.65,97.78,"2,619,183"
04/30/2021,99.62,99.72,98.15,98.33,"1,241,171"
04/29/2021,100.15,100.74,99.46,100.0,"1,467,910"
04/28/2021,100.95,100.95,99.37,99.42,"908,601"
04/27/2021,100.28,101.33,100.21,100.71,"1,933,422"
04/26/2021,101.45,101.73,100.16,100.38,"2,536,909"
04/23/2021,100.98,101.79,100.49,101.41,"2,894,042"
04/22/2021,101.39,102.01,100.11,100.49,"1,595,018"
04/21/2021,101.27,102.32,101.03,101.41,"2,407,858"
04/20/2021,103.45,103.52,101.15,101.48,"2,773,749"
04/19/2021,101.4,103.8,100.86,103.42,"3,785,017"
04/16/2021,99.73,102.17,99.22,101.42,"5,744,312"
04/15/2021,98.06,101.23,95.33,98.92,"13,455,500"
04/14/2021,92.67,93.51,92.55,92.7,"2,848,756"
04/13/2021,93.68,93.68,92.38,92.53,"1,669,395"
04/12/2021,92.75,94.04,92.55,93.45,"2,041,192"
04/09/2021,92.3,94.01,92.14,93.88,"2,044,825"
04/08/2021,92.3,92.88,90.59,92.58,"3,529,269"
04/07/2021,89.62,92.41,89.62,91.51,"2,845,522"
04/06/2021,89.43,89.97,89.0,89.48,"2,505,607"
04/05/2021,89.24,89.82,88.95,89.36,"2,544,237"
04/01/2021,88.28,89.33,88.09,89.08,"1,929,029"
03/31/2021,88.65,89.0,87.94,88.15,"1,641,903"
03/30/2021,87.68,89.05,87.61,88.59,"2,332,021"
03/29/2021,88.67,89.63,87.77,88.21,"2,075,320"
03/26/2021,86.67,89.0,86.21,88.99,"2,619,937"
03/25/2021,85.16,86.9,84.9,85.99,"1,731,901"
03/24/2021,86.33,87.4,85.84,86.35,"2,760,385"
03/23/2021,87.08,87.95,84.81,85.75,"2,661,326"
03/22/2021,87.43,88.28,86.93,87.35,"3,148,938"
03/19/2021,87.72,88.76,87.55,87.63,"3,949,227"
03/18/2021,90.46,90.46,88.05,88.11,"3,143,336"
03/17/2021,88.78,91.51,88.13,91.28,"3,123,407"
03/16/2021,89.5,89.79,88.26,89.08,"2,980,427"
03/15/2021,88.74,89.32,88.22,89.3,"2,861,915"
03/12/2021,88.52,88.84,87.66,88.82,"1,448,611"
03/11/2021,88.0,89.47,88.0,88.62,"3,774,586"
03/10/2021,86.93,88.11,86.75,87.68,"2,234,609"
03/09/2021,86.09,87.86,86.0,86.49,"2,189,061"
