Date,Open,High,Low,Close,Volume
10/27/2021,48.52,48.82,47.87,47.89,"41,081,461"
10/26/2021,49.4,49.44,47.93,48.28,"68,405,391"
10/25/2021,49.83,50.07,49.31,49.41,"43,178,770"
10/22/2021,50.39,50.55,49.14,49.46,"109,971,906"
10/21/2021,54.93,56.07,54.83,56.0,"38,390,859"
10/20/2021,55.25,55.49,55.08,55.37,"16,850,270"
10/19/2021,54.63,55.22,54.37,55.21,"18,392,881"
10/18/2021,54.19,54.56,53.72,54.47,"22,407,570"
10/15/2021,54.2,54.49,53.81,54.46,"25,231,141"
10/14/2021,52.9,54.0,52.73,53.9,"26,586,650"
10/13/2021,52.38,52.58,51.87,52.26,"18,533,961"
10/12/2021,53.57,53.72,52.01,52.17,"32,784,309"
10/11/2021,53.81,54.41,53.42,53.44,"14,398,760"
10/08/2021,54.55,54.58,53.7,53.81,"16,068,030"
10/07/2021,54.32,54.99,54.12,54.18,"20,704,439"
10/06/2021,53.48,54.07,53.07,53.98,"20,059,580"
10/05/2021,53.55,54.34,53.48,53.95,"18,129,359"
10/04/2021,53.93,54.33,53.08,53.47,"27,353,320"
10/01/2021,53.65,54.11,53.05,53.86,"19,895,100"
09/30/2021,53.76,53.98,53.26,53.28,"20,534,070"
09/29/2021,54.0,54.05,53.18,53.49,"20,514,311"
09/28/2021,54.18,54.59,53.96,54.0,"24,691,320"
09/27/2021,53.94,54.87,53.82,54.66,"13,899,910"
09/24/2021,53.78,54.42,53.73,54.22,"12,976,200"
09/23/2021,53.75,54.3,53.6,54.03,"16,474,330"
09/22/2021,53.4,53.87,53.0,53.5,"18,594,119"
09/21/2021,53.2,53.45,52.83,52.87,"17,968,930"
09/20/2021,53.21,53.5,52.32,52.98,"35,051,898"
09/17/2021,54.59,54.59,53.67,54.26,"35,359,230"
09/16/2021,54.86,54.95,54.24,54.83,"19,863,090"
09/15/2021,54.67,55.15,54.42,55.12,"18,796,180"
09/14/2021,55.37,55.44,54.27,54.52,"22,072,721"
09/13/2021,54.61,55.49,54.41,54.99,"22,639,240"
09/10/2021,53.85,54.98,53.81,53.84,"20,324,699"
09/09/2021,53.66,53.89,53.34,53.4,"13,495,800"
09/08/2021,53.73,53.92,52.99,53.57,"18,235,080"
